Country,Date,Device Category,Key Actions,Page Path,Source,Avg Session Duration,Bounce Rate,Conversions,New Users,Page Views,Returning Users,Unique Page Views
Australia,12/1/2019 2:12:48 AM,Mobile,Contact Form,/home,Paid Search,94,51,34,614,1340,372,985
India,12/1/2019 2:58:03 AM,Tablet,Contact Form,/products,Social Media,153,50,36,111,716,162,1279
Australia,12/1/2019 5:01:35 AM,Desktop,Sign Up,/products,Social Media,179,35,41,229,562,363,725
USA,12/1/2019 9:22:02 AM,Tablet,Sign Up,/home,Paid Search,163,23,5,177,656,255,1033
India,12/2/2019 6:59:37 AM,Mobile,Download,/products,Direct,142,32,23,869,889,64,658
Canada,12/2/2019 7:33:40 PM,Desktop,Download,/contact,Referral,114,27,41,414,563,171,762
Australia,12/3/2019 6:06:34 AM,Mobile,Contact Form,/contact,Organic Search,105,39,22,108,137,148,1367
USA,12/3/2019 8:51:54 AM,Desktop,Subscribe,/about,Organic Search,131,41,16,561,1576,396,693
Canada,12/4/2019 9:05:30 AM,Desktop,Download,/products,Paid Search,75,36,0,268,227,65,726
Canada,12/4/2019 10:39:12 AM,Desktop,Download,/blog,Direct,105,34,30,614,437,188,140
India,12/4/2019 2:30:46 PM,Tablet,Subscribe,/blog,Direct,54,51,24,185,435,340,325
Australia,12/4/2019 11:09:16 PM,Mobile,Contact Form,/products,Referral,172,62,33,124,1761,393,1368
USA,12/5/2019 12:00:45 AM,Tablet,Sign Up,/products,Paid Search,32,54,20,28,1026,294,1440
Australia,12/5/2019 7:43:06 AM,Tablet,Download,/products,Referral,62,30,30,154,109,456,234
USA,12/6/2019 4:40:54 AM,Desktop,Purchase,/products,Direct,159,55,36,943,1515,433,417
UK,12/6/2019 5:35:14 AM,Tablet,Contact Form,/home,Direct,128,31,36,896,1007,346,876
Australia,12/6/2019 7:35:55 AM,Tablet,Sign Up,/home,Referral,100,50,12,205,1243,153,714
India,12/6/2019 7:58:42 AM,Mobile,Download,/contact,Referral,67,67,24,914,1356,333,1282
India,12/6/2019 10:07:24 AM,Desktop,Download,/about,Direct,171,50,27,434,793,455,1394
Australia,12/7/2019 12:15:18 AM,Tablet,Contact Form,/products,Organic Search,133,26,17,920,837,476,611
Canada,12/7/2019 6:17:09 AM,Mobile,Contact Form,/about,Direct,39,45,4,308,1978,146,1146
UK,12/7/2019 12:18:28 PM,Mobile,Contact Form,/about,Social Media,153,34,15,653,1042,459,1248
UK,12/7/2019 6:31:56 PM,Desktop,Download,/contact,Referral,120,52,0,698,1330,465,187
UK,12/7/2019 10:22:39 PM,Mobile,Contact Form,/products,Paid Search,143,41,6,74,1875,262,1288
UK,12/7/2019 11:17:45 PM,Desktop,Purchase,/blog,Social Media,156,66,8,724,1647,327,174
Canada,12/8/2019 11:58:29 AM,Mobile,Download,/about,Direct,118,51,4,301,1046,201,1153
Australia,12/9/2019 5:02:12 PM,Desktop,Purchase,/home,Paid Search,65,47,33,37,583,25,1221
Australia,12/11/2019 1:05:48 AM,Desktop,Purchase,/contact,Organic Search,56,31,13,479,635,401,1302
UK,12/11/2019 7:40:39 AM,Desktop,Contact Form,/products,Direct,55,37,48,248,241,71,680
India,12/11/2019 11:57:05 AM,Mobile,Subscribe,/contact,Direct,70,29,35,877,896,384,775
India,12/11/2019 3:49:44 PM,Mobile,Subscribe,/products,Organic Search,91,59,26,724,724,443,464
Canada,12/12/2019 1:58:19 PM,Mobile,Subscribe,/contact,Referral,106,62,4,953,130,394,303
USA,12/12/2019 2:21:24 PM,Mobile,Sign Up,/home,Paid Search,70,44,33,50,898,280,304
Australia,12/12/2019 6:51:16 PM,Desktop,Download,/contact,Paid Search,149,31,23,155,347,436,687
Australia,12/12/2019 10:31:30 PM,Tablet,Download,/blog,Referral,53,27,44,574,278,139,275
USA,12/13/2019 8:56:48 AM,Mobile,Sign Up,/about,Organic Search,59,24,10,126,1324,444,1388
Canada,12/13/2019 3:11:40 PM,Tablet,Sign Up,/products,Paid Search,133,53,40,449,1164,307,435
Australia,12/13/2019 4:01:24 PM,Mobile,Sign Up,/about,Organic Search,65,43,13,753,661,269,973
Australia,12/14/2019 3:44:39 AM,Mobile,Purchase,/blog,Direct,84,36,8,935,1768,497,1231
Australia,2/13/2023 1:16:29 PM,Desktop,Purchase,/about,Direct,50,23,17,58,925,447,1398
Australia,1/10/2020 1:40:57 AM,Desktop,Purchase,/about,Direct,69,39,39,846,1092,215,1360
Australia,4/21/2023 2:45:30 AM,Desktop,Purchase,/about,Direct,159,62,17,845,1574,464,923
Australia,1/6/2023 3:53:17 AM,Desktop,Purchase,/about,Direct,160,68,14,871,603,250,1406
Canada,7/27/2023 10:18:38 PM,Desktop,Contact Form,/about,Direct,92,33,3,49,1966,99,678
Canada,10/11/2023 10:37:58 PM,Desktop,Download,/about,Direct,72,56,46,194,1169,156,1466
Canada,11/23/2020 10:42:45 AM,Desktop,Download,/about,Direct,111,57,48,377,1690,368,145
Canada,12/18/2021 8:27:35 PM,Desktop,Download,/about,Direct,176,60,27,60,192,356,132
Canada,9/13/2021 9:08:45 PM,Desktop,Sign Up,/about,Direct,36,34,43,263,135,335,1445
Canada,11/2/2022 2:34:54 PM,Desktop,Sign Up,/about,Direct,112,41,27,722,869,415,429
Canada,8/16/2022 9:28:52 AM,Desktop,Sign Up,/about,Direct,146,61,21,406,917,352,1092
Canada,8/16/2020 1:15:00 AM,Desktop,Sign Up,/about,Direct,86,64,37,559,588,32,236
Canada,4/25/2020 5:51:18 PM,Desktop,Subscribe,/about,Direct,143,28,46,946,542,85,1418
Canada,8/17/2022 4:41:46 AM,Desktop,Subscribe,/about,Direct,158,42,29,63,744,496,1084
India,8/18/2021 10:46:38 AM,Desktop,Contact Form,/about,Direct,105,33,14,554,955,310,919
India,2/8/2021 2:53:37 PM,Desktop,Contact Form,/about,Direct,90,45,21,78,1045,40,403
India,10/16/2023 9:06:37 AM,Desktop,Contact Form,/about,Direct,96,47,16,456,720,144,1228
India,6/25/2021 1:47:57 AM,Desktop,Contact Form,/about,Direct,100,63,34,727,692,373,957
India,11/24/2022 11:24:23 PM,Desktop,Download,/about,Direct,100,31,23,898,792,323,619
India,12/22/2021 8:51:40 AM,Desktop,Download,/about,Direct,145,44,10,135,1721,383,1313
India,1/13/2022 9:20:41 AM,Desktop,Purchase,/about,Direct,136,45,24,746,1377,153,274
India,3/30/2021 8:15:11 AM,Desktop,Sign Up,/about,Direct,173,32,22,347,328,451,723
India,9/3/2021 2:57:58 AM,Desktop,Sign Up,/about,Direct,68,66,19,801,1927,137,1416
India,4/26/2020 1:52:09 AM,Desktop,Subscribe,/about,Direct,109,43,16,84,1496,498,927
UK,6/20/2023 6:29:23 AM,Desktop,Contact Form,/about,Direct,98,34,33,913,1477,482,317
UK,9/27/2023 10:03:09 AM,Desktop,Contact Form,/about,Direct,166,64,47,479,1700,267,280
UK,10/4/2020 9:27:25 PM,Desktop,Contact Form,/about,Direct,78,69,5,756,195,85,867
UK,2/15/2021 11:19:00 PM,Desktop,Download,/about,Direct,77,59,38,592,667,186,1091
UK,1/21/2023 2:45:52 PM,Desktop,Purchase,/about,Direct,79,20,32,19,1139,383,1218
UK,4/11/2021 12:56:17 PM,Desktop,Purchase,/about,Direct,100,26,32,624,1032,464,383
UK,9/27/2020 9:33:48 PM,Desktop,Purchase,/about,Direct,151,32,7,800,1608,452,393
UK,1/27/2023 12:53:44 PM,Desktop,Purchase,/about,Direct,47,37,11,393,873,217,882
UK,12/14/2022 2:31:07 PM,Desktop,Sign Up,/about,Direct,45,39,27,100,555,114,796
UK,11/2/2021 6:52:18 AM,Desktop,Sign Up,/about,Direct,144,45,6,538,665,307,1055
UK,10/11/2020 2:48:15 PM,Desktop,Sign Up,/about,Direct,41,45,7,309,1255,311,799
UK,8/7/2023 10:47:37 AM,Desktop,Sign Up,/about,Direct,174,50,47,290,1086,227,1388
UK,2/24/2021 7:30:35 AM,Desktop,Subscribe,/about,Direct,61,47,3,369,1748,251,1310
UK,6/11/2022 7:30:37 PM,Desktop,Subscribe,/about,Direct,34,63,12,434,1554,37,1049
USA,9/20/2021 5:42:32 AM,Desktop,Download,/about,Direct,172,24,32,123,1222,307,902
USA,10/20/2020 3:01:34 PM,Desktop,Purchase,/about,Direct,158,20,8,740,167,360,1109
USA,5/1/2020 6:37:21 AM,Desktop,Purchase,/about,Direct,134,56,7,60,278,322,426
USA,4/6/2020 6:55:27 AM,Desktop,Purchase,/about,Direct,68,62,20,759,1818,160,915
USA,12/19/2020 1:26:07 PM,Desktop,Sign Up,/about,Direct,126,43,7,683,174,361,296
USA,4/9/2020 12:51:42 AM,Desktop,Sign Up,/about,Direct,66,43,17,648,1708,329,889
USA,3/26/2022 5:10:11 PM,Desktop,Sign Up,/about,Direct,100,51,45,923,1180,436,902
USA,4/26/2021 8:20:33 AM,Desktop,Subscribe,/about,Direct,56,30,10,565,996,456,897
USA,3/23/2020 4:49:12 PM,Desktop,Subscribe,/about,Direct,154,36,29,970,1630,317,376
USA,10/17/2021 4:17:31 PM,Desktop,Subscribe,/about,Direct,170,55,12,375,1112,478,1039
Australia,11/2/2022 12:02:05 PM,Desktop,Contact Form,/blog,Direct,156,39,36,797,696,46,152
Australia,7/3/2023 7:57:12 PM,Desktop,Contact Form,/blog,Direct,32,64,31,191,1302,409,787
Australia,7/23/2020 10:01:53 PM,Desktop,Download,/blog,Direct,122,22,19,914,1245,51,1228
Australia,7/14/2022 10:14:26 PM,Desktop,Download,/blog,Direct,143,62,8,753,1539,193,73
Australia,9/1/2021 11:20:12 PM,Desktop,Purchase,/blog,Direct,100,39,1,697,666,125,416
Australia,5/15/2021 4:41:53 PM,Desktop,Purchase,/blog,Direct,146,41,37,850,1183,354,123
Australia,11/14/2021 8:33:00 PM,Desktop,Purchase,/blog,Direct,62,57,16,184,483,303,983
Australia,8/26/2022 5:35:47 PM,Desktop,Purchase,/blog,Direct,107,58,2,610,1905,93,121
Australia,2/28/2022 8:39:14 AM,Desktop,Sign Up,/blog,Direct,96,43,16,88,709,85,1230
Australia,6/7/2021 9:07:27 AM,Desktop,Sign Up,/blog,Direct,121,57,15,692,483,69,1158
Australia,5/28/2021 4:36:50 PM,Desktop,Subscribe,/blog,Direct,79,33,43,831,303,463,583
Australia,4/18/2023 11:51:16 AM,Desktop,Subscribe,/blog,Direct,50,46,21,25,1785,96,1310
Canada,5/25/2020 3:47:07 PM,Desktop,Contact Form,/blog,Direct,82,25,20,729,1041,382,1006
Canada,8/25/2020 6:44:35 PM,Desktop,Contact Form,/blog,Direct,169,36,17,626,1369,231,575
Canada,4/7/2023 7:41:07 PM,Desktop,Contact Form,/blog,Direct,97,36,23,459,503,43,1114
Canada,2/10/2022 3:41:54 PM,Desktop,Download,/blog,Direct,122,27,25,322,563,96,214
Canada,6/4/2021 12:17:23 PM,Desktop,Download,/blog,Direct,129,31,46,840,1099,290,241
Canada,1/9/2020 6:03:34 AM,Desktop,Download,/blog,Direct,93,38,10,448,201,45,699
Canada,9/30/2022 1:26:10 PM,Desktop,Download,/blog,Direct,146,67,15,304,355,254,524
Canada,4/9/2022 2:45:17 AM,Desktop,Sign Up,/blog,Direct,111,62,41,577,1750,265,1131
Canada,9/11/2020 12:30:03 AM,Desktop,Subscribe,/blog,Direct,37,24,34,819,1237,225,82
Canada,8/24/2023 10:51:19 PM,Desktop,Subscribe,/blog,Direct,36,32,24,467,1206,8,184
Canada,5/16/2022 6:56:27 AM,Desktop,Subscribe,/blog,Direct,167,35,20,53,881,129,445
Canada,12/14/2021 4:37:49 AM,Desktop,Subscribe,/blog,Direct,52,40,11,47,302,220,853
Canada,6/12/2021 2:14:56 PM,Desktop,Subscribe,/blog,Direct,125,48,7,537,995,445,612
India,7/3/2021 4:01:31 AM,Desktop,Contact Form,/blog,Direct,150,32,46,210,660,198,337
India,2/15/2022 8:28:49 PM,Desktop,Contact Form,/blog,Direct,153,34,2,402,751,251,1221
India,6/12/2020 7:24:06 AM,Desktop,Contact Form,/blog,Direct,138,39,49,547,578,331,1429
India,12/14/2021 1:49:47 PM,Desktop,Contact Form,/blog,Direct,89,65,46,811,1136,493,61
India,4/21/2020 8:51:52 PM,Desktop,Download,/blog,Direct,45,32,5,165,366,180,1278
India,6/19/2021 12:11:04 AM,Desktop,Download,/blog,Direct,178,42,35,180,599,260,1397
India,6/17/2023 7:54:41 AM,Desktop,Sign Up,/blog,Direct,96,24,29,767,584,357,1466
India,1/2/2020 5:01:47 AM,Desktop,Sign Up,/blog,Direct,129,24,44,586,120,139,1177
India,4/21/2021 9:19:57 PM,Desktop,Sign Up,/blog,Direct,147,58,24,780,1302,240,1176
India,7/15/2022 4:18:36 PM,Desktop,Sign Up,/blog,Direct,142,66,34,885,1692,244,899
India,3/7/2023 5:38:04 PM,Desktop,Sign Up,/blog,Direct,31,67,21,49,1251,433,1485
India,6/6/2021 2:50:10 AM,Desktop,Subscribe,/blog,Direct,112,36,28,117,595,207,579
India,10/18/2021 7:05:20 AM,Desktop,Subscribe,/blog,Direct,40,39,27,483,1129,170,1103
India,4/11/2023 10:21:24 AM,Desktop,Subscribe,/blog,Direct,93,42,5,531,1779,9,1432
UK,3/9/2021 1:19:37 AM,Desktop,Contact Form,/blog,Direct,124,27,12,164,635,427,978
UK,10/24/2023 11:47:36 AM,Desktop,Contact Form,/blog,Direct,94,58,14,685,1880,11,791
UK,7/30/2023 11:33:24 PM,Desktop,Download,/blog,Direct,49,21,16,849,378,296,1470
UK,12/16/2019 10:43:10 AM,Desktop,Download,/blog,Direct,32,45,26,300,555,200,363
UK,1/10/2022 9:01:58 AM,Desktop,Download,/blog,Direct,162,51,22,624,128,428,274
UK,7/28/2020 5:57:36 PM,Desktop,Download,/blog,Direct,78,59,11,467,1383,100,663
UK,5/16/2020 7:32:00 PM,Desktop,Purchase,/blog,Direct,170,35,21,147,832,114,907
UK,10/12/2023 2:44:31 PM,Desktop,Purchase,/blog,Direct,33,50,18,521,1076,137,1303
UK,8/25/2022 7:45:42 AM,Desktop,Purchase,/blog,Direct,172,52,37,770,1965,221,96
UK,1/27/2020 2:23:15 PM,Desktop,Purchase,/blog,Direct,104,54,31,505,1007,396,875
UK,9/6/2023 5:48:05 PM,Desktop,Sign Up,/blog,Direct,122,61,12,818,1906,370,616
UK,4/13/2021 10:06:31 AM,Desktop,Subscribe,/blog,Direct,56,20,4,181,1555,363,439
UK,1/31/2022 11:55:00 PM,Desktop,Subscribe,/blog,Direct,81,32,0,785,753,31,402
UK,2/5/2020 5:52:04 AM,Desktop,Subscribe,/blog,Direct,128,52,36,132,131,255,1488
USA,4/18/2022 11:01:57 AM,Desktop,Contact Form,/blog,Direct,152,25,19,847,1070,209,720
USA,4/4/2022 6:04:33 PM,Desktop,Contact Form,/blog,Direct,170,27,14,23,1734,245,1401
USA,10/2/2023 3:08:46 PM,Desktop,Contact Form,/blog,Direct,157,31,41,804,295,369,409
USA,8/1/2020 9:03:31 AM,Desktop,Contact Form,/blog,Direct,150,62,29,619,1186,371,396
USA,5/11/2023 1:57:34 PM,Desktop,Download,/blog,Direct,177,31,24,707,1041,310,1310
USA,10/11/2020 6:04:22 PM,Desktop,Download,/blog,Direct,86,43,37,318,1859,429,1273
USA,4/17/2021 9:41:29 PM,Desktop,Download,/blog,Direct,105,45,4,297,901,448,270
USA,1/7/2023 8:26:07 AM,Desktop,Download,/blog,Direct,67,54,2,300,1220,69,644
USA,10/2/2023 4:17:08 PM,Desktop,Purchase,/blog,Direct,154,20,23,23,709,475,1020
USA,7/26/2022 12:27:54 PM,Desktop,Sign Up,/blog,Direct,75,43,19,244,829,103,749
USA,8/26/2021 5:48:31 AM,Desktop,Subscribe,/blog,Direct,136,60,17,363,440,271,1028
Australia,5/10/2022 11:10:48 PM,Desktop,Download,/contact,Direct,66,54,6,925,141,49,1062
Australia,5/6/2022 11:50:41 PM,Desktop,Download,/contact,Direct,49,69,16,62,1908,98,59
Australia,9/23/2023 10:03:27 PM,Desktop,Sign Up,/contact,Direct,59,53,29,340,598,208,691
Australia,12/25/2021 12:38:30 AM,Desktop,Subscribe,/contact,Direct,128,43,30,528,1306,135,1293
Australia,1/27/2022 6:11:29 PM,Desktop,Subscribe,/contact,Direct,165,44,48,995,1859,159,372
Australia,11/12/2021 1:55:52 PM,Desktop,Subscribe,/contact,Direct,48,52,6,768,967,343,993
Australia,3/16/2023 1:08:15 PM,Desktop,Subscribe,/contact,Direct,76,64,14,661,1429,343,1047
Canada,10/3/2023 1:59:43 PM,Desktop,Contact Form,/contact,Direct,99,39,41,331,1276,26,1431
Canada,8/28/2023 7:11:25 PM,Desktop,Contact Form,/contact,Direct,57,51,6,252,1798,132,798
Canada,8/15/2023 6:08:26 AM,Desktop,Purchase,/contact,Direct,143,46,19,179,1441,165,194
Canada,4/4/2020 7:29:07 PM,Desktop,Sign Up,/contact,Direct,34,27,18,112,771,227,890
Canada,1/29/2020 10:05:46 PM,Desktop,Sign Up,/contact,Direct,153,29,28,836,286,322,1443
Canada,9/30/2020 9:56:49 AM,Desktop,Sign Up,/contact,Direct,64,55,29,332,1696,423,817
Canada,7/18/2022 6:12:04 AM,Desktop,Subscribe,/contact,Direct,39,35,21,548,451,358,367
Canada,2/27/2022 11:15:06 PM,Desktop,Subscribe,/contact,Direct,135,47,5,520,531,474,564
Canada,3/28/2021 10:33:05 AM,Desktop,Subscribe,/contact,Direct,131,52,20,669,265,179,1220
India,12/17/2019 8:26:36 AM,Desktop,Contact Form,/contact,Direct,41,43,15,69,408,309,835
India,6/14/2022 5:07:34 AM,Desktop,Contact Form,/contact,Direct,86,54,10,305,1909,221,500
India,2/23/2021 12:56:33 AM,Desktop,Contact Form,/contact,Direct,95,58,2,322,1415,427,377
India,11/29/2020 8:19:01 AM,Desktop,Download,/contact,Direct,132,65,17,857,1616,280,356
India,10/8/2020 11:53:08 PM,Desktop,Purchase,/contact,Direct,82,36,19,588,1143,382,504
India,12/27/2021 9:28:47 PM,Desktop,Purchase,/contact,Direct,136,42,31,864,501,266,477
India,10/2/2020 7:57:01 AM,Desktop,Sign Up,/contact,Direct,148,43,2,815,1789,169,785
India,10/23/2023 8:19:00 PM,Desktop,Sign Up,/contact,Direct,125,59,39,302,1097,189,1489
India,10/24/2022 4:05:37 AM,Desktop,Subscribe,/contact,Direct,58,33,31,198,1001,42,1382
India,8/1/2020 5:51:50 PM,Desktop,Subscribe,/contact,Direct,142,56,12,640,1909,341,838
UK,5/10/2023 3:04:25 PM,Desktop,Download,/contact,Direct,92,25,48,630,156,186,1371
UK,7/13/2020 6:30:05 PM,Desktop,Download,/contact,Direct,78,31,31,40,1901,399,183
UK,11/10/2022 10:23:42 AM,Desktop,Download,/contact,Direct,96,62,30,757,1218,186,279
UK,11/21/2020 4:18:07 AM,Desktop,Sign Up,/contact,Direct,109,47,39,276,1303,103,1462
UK,10/13/2021 11:56:48 AM,Desktop,Sign Up,/contact,Direct,88,47,41,578,1264,199,901
UK,7/7/2023 12:08:50 PM,Desktop,Subscribe,/contact,Direct,155,31,9,200,1666,292,1141
UK,1/12/2023 11:39:46 AM,Desktop,Subscribe,/contact,Direct,85,59,31,147,1092,144,499
USA,2/5/2022 4:26:20 PM,Desktop,Contact Form,/contact,Direct,141,23,29,828,720,462,1144
USA,7/6/2022 8:36:51 PM,Desktop,Contact Form,/contact,Direct,61,51,37,308,172,443,209
USA,4/22/2023 5:40:52 PM,Desktop,Contact Form,/contact,Direct,175,69,39,140,1837,204,1017
USA,8/4/2023 6:45:10 PM,Desktop,Download,/contact,Direct,138,23,27,827,1443,262,1496
USA,7/25/2023 6:38:03 PM,Desktop,Download,/contact,Direct,140,25,23,323,1424,70,712
USA,10/28/2021 2:59:51 PM,Desktop,Download,/contact,Direct,98,32,4,289,1017,393,587
USA,2/5/2022 3:54:02 AM,Desktop,Download,/contact,Direct,143,48,20,291,890,374,606
USA,7/13/2020 1:50:11 PM,Desktop,Download,/contact,Direct,164,59,43,929,1593,491,1094
USA,1/24/2022 4:38:47 PM,Desktop,Purchase,/contact,Direct,98,68,42,442,495,449,1162
USA,1/18/2020 6:35:34 AM,Desktop,Sign Up,/contact,Direct,68,52,38,770,1662,303,393
USA,11/24/2020 2:33:20 PM,Desktop,Sign Up,/contact,Direct,131,55,10,543,1920,448,170
Australia,3/10/2022 1:06:43 PM,Desktop,Contact Form,/home,Direct,75,21,42,908,1224,154,495
Australia,2/23/2020 6:26:31 PM,Desktop,Download,/home,Direct,129,45,1,691,1115,493,304
Australia,12/22/2022 9:51:02 PM,Desktop,Download,/home,Direct,179,46,30,99,291,76,182
Australia,3/20/2022 12:19:19 PM,Desktop,Download,/home,Direct,160,53,34,607,1810,297,469
Australia,4/17/2023 6:12:23 AM,Desktop,Purchase,/home,Direct,178,66,45,601,1178,298,866
Australia,12/5/2020 11:28:05 AM,Desktop,Sign Up,/home,Direct,36,28,31,147,1779,458,1308
Australia,10/2/2023 2:21:40 PM,Desktop,Sign Up,/home,Direct,147,36,4,309,197,221,484
Australia,5/16/2023 11:03:44 AM,Desktop,Sign Up,/home,Direct,58,53,29,818,945,378,920
Australia,8/25/2022 2:17:41 AM,Desktop,Sign Up,/home,Direct,165,56,29,522,1111,52,1015
Australia,10/4/2023 8:49:23 AM,Desktop,Subscribe,/home,Direct,65,39,17,909,1513,24,583
Australia,3/20/2022 4:55:43 AM,Desktop,Subscribe,/home,Direct,70,44,33,179,440,201,590
Australia,12/22/2022 7:46:26 PM,Desktop,Subscribe,/home,Direct,34,65,37,394,1350,303,553
Canada,7/29/2020 1:31:03 PM,Desktop,Download,/home,Direct,168,24,17,478,1815,54,137
Canada,12/19/2022 1:02:26 PM,Desktop,Download,/home,Direct,39,37,30,195,1128,380,836
Canada,1/25/2020 12:54:23 AM,Desktop,Download,/home,Direct,39,50,40,498,700,152,235
Canada,10/12/2022 3:06:36 PM,Desktop,Download,/home,Direct,177,60,2,789,533,131,1296
Canada,10/10/2023 6:36:19 PM,Desktop,Download,/home,Direct,53,68,13,518,1065,256,1199
Canada,5/31/2021 7:08:13 AM,Desktop,Download,/home,Direct,109,68,16,997,1167,27,800
Canada,12/20/2020 4:35:22 AM,Desktop,Sign Up,/home,Direct,66,35,3,51,1117,300,1180
Canada,1/29/2020 9:29:56 PM,Desktop,Sign Up,/home,Direct,93,45,24,47,1946,165,933
Canada,12/19/2019 10:19:32 PM,Desktop,Sign Up,/home,Direct,54,52,23,369,588,497,864
Canada,6/1/2023 9:20:27 AM,Desktop,Sign Up,/home,Direct,66,55,33,981,292,111,1055
Canada,3/6/2020 8:45:27 PM,Desktop,Subscribe,/home,Direct,140,26,7,39,141,196,803
Canada,8/2/2022 8:07:43 PM,Desktop,Subscribe,/home,Direct,72,38,9,110,1486,329,1326
Canada,5/11/2020 4:31:32 PM,Desktop,Subscribe,/home,Direct,160,45,9,781,594,205,217
India,3/25/2022 8:52:56 PM,Desktop,Contact Form,/home,Direct,43,34,23,803,746,177,109
India,5/9/2021 12:49:24 AM,Desktop,Contact Form,/home,Direct,94,43,21,60,716,426,249
India,1/12/2021 12:55:30 AM,Desktop,Contact Form,/home,Direct,134,55,12,515,967,235,1165
India,2/10/2021 1:44:39 PM,Desktop,Download,/home,Direct,168,35,34,276,560,457,380
India,1/6/2020 6:22:32 PM,Desktop,Download,/home,Direct,84,41,22,433,574,430,591
India,10/23/2023 10:13:43 AM,Desktop,Download,/home,Direct,97,65,38,42,1321,59,439
India,8/3/2022 2:17:18 AM,Desktop,Purchase,/home,Direct,109,51,26,56,887,189,324
India,6/3/2022 6:51:51 AM,Desktop,Sign Up,/home,Direct,82,42,24,269,975,286,595
India,8/26/2023 2:09:52 AM,Desktop,Sign Up,/home,Direct,137,48,37,218,1045,65,1482
India,4/28/2021 7:36:23 PM,Desktop,Subscribe,/home,Direct,169,29,20,605,996,406,812
India,6/7/2023 11:36:34 AM,Desktop,Subscribe,/home,Direct,100,33,36,99,538,364,1379
India,11/30/2021 9:55:51 AM,Desktop,Subscribe,/home,Direct,82,45,21,826,1601,68,474
UK,4/8/2020 3:16:34 PM,Desktop,Download,/home,Direct,178,28,2,318,161,467,931
UK,3/19/2021 1:19:12 PM,Desktop,Download,/home,Direct,78,31,11,831,1132,17,879
UK,4/25/2020 10:04:57 AM,Desktop,Download,/home,Direct,46,41,45,197,261,488,1294
UK,7/10/2020 2:42:50 PM,Desktop,Purchase,/home,Direct,138,40,8,392,565,326,1483
UK,4/24/2020 10:56:13 PM,Desktop,Purchase,/home,Direct,33,53,27,634,260,497,1189
UK,7/7/2021 9:32:50 PM,Desktop,Purchase,/home,Direct,87,69,32,980,563,307,1154
UK,6/25/2020 1:36:47 AM,Desktop,Sign Up,/home,Direct,121,62,19,909,1798,217,1400
UK,3/21/2022 7:07:07 AM,Desktop,Subscribe,/home,Direct,104,28,37,52,989,90,596
UK,10/20/2022 7:33:12 AM,Desktop,Subscribe,/home,Direct,44,38,39,214,181,243,665
USA,7/13/2023 2:39:59 AM,Desktop,Contact Form,/home,Direct,77,35,23,268,322,91,1342
USA,7/5/2020 12:41:18 AM,Desktop,Contact Form,/home,Direct,129,54,26,420,1447,140,362
USA,8/7/2023 9:09:30 AM,Desktop,Contact Form,/home,Direct,79,61,22,670,950,155,1325
USA,10/20/2020 11:13:31 AM,Desktop,Contact Form,/home,Direct,88,65,27,55,139,23,87
USA,9/3/2022 8:20:01 AM,Desktop,Download,/home,Direct,59,39,6,451,925,441,177
USA,7/27/2022 11:12:22 PM,Desktop,Download,/home,Direct,178,59,33,523,1638,299,1046
USA,1/14/2021 1:22:09 AM,Desktop,Sign Up,/home,Direct,126,41,7,240,1011,119,455
USA,1/5/2022 11:22:04 PM,Desktop,Sign Up,/home,Direct,44,45,10,682,977,31,808
USA,6/13/2023 1:43:56 PM,Desktop,Subscribe,/home,Direct,85,38,18,451,1766,208,989
Australia,11/18/2021 12:18:30 PM,Desktop,Contact Form,/products,Direct,157,40,30,630,546,66,212
Australia,5/28/2022 8:47:42 PM,Desktop,Contact Form,/products,Direct,102,42,20,848,1551,335,1349
Australia,6/28/2020 3:50:52 PM,Desktop,Download,/products,Direct,147,24,12,58,880,107,378
Australia,7/4/2022 3:37:59 AM,Desktop,Download,/products,Direct,69,27,33,322,998,18,1197
Australia,11/3/2020 4:42:13 PM,Desktop,Download,/products,Direct,63,63,9,334,1722,352,977
Australia,3/20/2020 4:26:52 AM,Desktop,Purchase,/products,Direct,134,26,43,996,1399,170,595
Australia,8/18/2020 8:25:42 PM,Desktop,Purchase,/products,Direct,36,46,46,692,352,459,1401
Australia,7/24/2023 2:25:25 PM,Desktop,Purchase,/products,Direct,105,55,37,151,1366,21,792
Australia,12/7/2022 3:51:14 AM,Desktop,Purchase,/products,Direct,173,65,37,233,1970,62,800
Australia,9/8/2020 11:28:47 AM,Desktop,Sign Up,/products,Direct,130,21,26,657,1844,357,771
Australia,3/21/2023 12:08:25 PM,Desktop,Sign Up,/products,Direct,169,51,7,586,457,156,1488
Australia,9/8/2022 2:26:44 PM,Desktop,Subscribe,/products,Direct,40,28,8,613,1602,344,320
Australia,2/24/2021 2:38:35 AM,Desktop,Subscribe,/products,Direct,51,53,28,432,1986,410,567
Australia,8/25/2022 11:00:28 PM,Desktop,Subscribe,/products,Direct,50,58,49,369,1912,305,844
Canada,4/26/2023 7:34:11 PM,Desktop,Contact Form,/products,Direct,130,25,23,261,792,370,1021
Canada,2/9/2022 3:36:07 AM,Desktop,Download,/products,Direct,110,54,17,773,1948,38,792
Canada,5/24/2020 11:09:32 AM,Desktop,Purchase,/products,Direct,176,59,41,125,1705,325,1212
Canada,9/6/2023 5:26:03 AM,Desktop,Purchase,/products,Direct,140,66,33,198,438,73,1299
